Service,Service Category,Request Type
Alarms/Locks/Security,Professional Home/Garden Servi,Member's Home
Appliance Repair,Professional Home/Garden Servi,Member's Home
Auto Repair,Professional In-Home Support,Member's Home
Bill Paying / Paperwork,Volunteer In-Home Support,Member's Home
Board Meetings,Village Admin,Office
Cell Phone Help,Technical Support,Member's Home
Chimneys-Repr.&Clean.,Professional Home/Garden Servi,Member's Home
Cloud Storage,Technical Support,Member's Home
Club Express,Technical Support,Member's Home
Committee,Village Admin,Office
Community Outreach (Covid-19),Village Admin,Office
Const./Reno./Repairs,Professional Home/Garden Servi,Member's Home
Coronavirus Remote Assistance,Volunteer In-Home Support,Member's Home
Coronavirus Support Phone Call,Volunteer In-Home Support,Member's Home
Electricians/Electric,Professional Home/Garden Servi,Member's Home
Email,Technical Support,Member's Home
Errands w/out Member,Volunteer In-Home Support,Member's Home
Event Carpool,Transportation,Transportation
Event Planning,Village Admin,Office
Flooring/Carpets,Professional Home/Garden Servi,Member's Home
Friendly Visit,Volunteer In-Home Support,Member's Home
Garden/Landscape-Prof. ,Professional Home/Garden Servi,Member's Home
Gardening/Yard Help -  Vol,Volunteer Home/Garden Service,Member's Home
General Errands (Covid-19),Coronavirus Community Support,Transportation
Grocery Shopping (Covid-19),Coronavirus Community Support,Transportation
Handy Person-Vol.,Volunteer Home/Garden Service,Member's Home
Heating/AC,Professional Home/Garden Servi,Member's Home
Home Health Care,Professional In-Home Support,Member's Home
